0	-2.500 	-2.500 	-2.500 	-2.500 	-2.500 	-2.500 	
0	35.000 	10.500 	3.500 	-3.500 	-10.500 	-43.750 	
1	4760.000 	119.700 	3.500 	-6.300 	-144.900 	-9789.062 	
2	90611360.000 	17050.070 	3.500 	-18.396 	-25369.096 	-479177664.000 	
3	32841673587294208.000 	348825440.000 	3.500 	-142.724 	-772339712.000 	-1148056165653938176.000 	
4	4314302121982123450431453813276672.000 	146015023909568512.000 	3.500 	-8205.095 	-715810382106591232.000 	-6590164965195601552951846126313537536.000 	
5	inf 	25584464701949618438410853767184384.000 	3.500 	-26932714.000 	-614861445205106674562804906595450880.000 	-inf 	
6	-nan 	inf 	3.500 	-290148461838336.000 	-inf 	-inf 	
7	-nan 	-nan 	3.500 	-33674451616622388049745018880.000 	-inf 	-inf 	
8	-nan 	-nan 	3.500 	-inf 	-inf 	-inf 	
9	-nan 	-nan 	3.500 	-inf 	-inf 	-inf 	
10	-nan 	-nan 	3.500 	-inf 	-inf 	-inf 	
11	-nan 	-nan 	3.500 	-inf 	-inf 	-inf 	
12	-nan 	-nan 	3.500 	-inf 	-inf 	-inf 	
13	-nan 	-nan 	3.500 	-inf 	-inf 	-inf 	
14	-nan 	-nan 	3.500 	-inf 	-inf 	-inf 	
15	-nan 	-nan 	3.500 	-inf 	-inf 	-inf 	
16	-nan 	-nan 	3.500 	-inf 	-inf 	-inf 	
17	-nan 	-nan 	3.500 	-inf 	-inf 	-inf 	
18	-nan 	-nan 	3.500 	-inf 	-inf 	-inf 	
19	-nan 	-nan 	3.500 	-inf 	-inf 	-inf 	
