0	2.000 	2.000 	2.000 	2.000 	2.000 	2.000 	
0	8.000 	2.400 	0.800 	-0.800 	-2.400 	-10.000 	
1	224.000 	4.032 	-0.064 	-0.576 	-9.792 	-550.000 	
2	199808.000 	14.670 	0.027 	-0.363 	-126.810 	-1515250.000 	
3	159692144640.000 	240.648 	-0.011 	-0.198 	-19449.209 	-11479920148480.000 	
4	102006324394358875357184.000 	69204.898 	0.004 	-0.095 	-453949440.000 	-658942859671821723551924224.000 	
5	inf 	5747098624.000 	-0.002 	-0.042 	-247284116456734720.000 	-inf 	
6	-nan 	39634970857697181696.000 	0.001 	-0.017 	-73379321680014429965460153676333056.000 	-inf 	
7	-nan 	inf 	-0.000 	-0.007 	-inf 	-inf 	
8	-nan 	-nan 	0.000 	-0.003 	-inf 	-inf 	
9	-nan 	-nan 	-0.000 	-0.001 	-inf 	-inf 	
10	-nan 	-nan 	0.000 	-0.000 	-inf 	-inf 	
11	-nan 	-nan 	-0.000 	-0.000 	-inf 	-inf 	
12	-nan 	-nan 	0.000 	-0.000 	-inf 	-inf 	
13	-nan 	-nan 	-0.000 	-0.000 	-inf 	-inf 	
14	-nan 	-nan 	0.000 	-0.000 	-inf 	-inf 	
15	-nan 	-nan 	-0.000 	-0.000 	-inf 	-inf 	
16	-nan 	-nan 	0.000 	-0.000 	-inf 	-inf 	
17	-nan 	-nan 	-0.000 	-0.000 	-inf 	-inf 	
18	-nan 	-nan 	0.000 	-0.000 	-inf 	-inf 	
19	-nan 	-nan 	-0.000 	-0.000 	-inf 	-inf 	
